date|event
1911-01-09|Nace el pintor bonaerense Héctor Julio Bernabo, conocido con el seudónimo de "Carybé", de estilo americanista
1954-01-09|Muere la ensayista y feminista bonaerense Herminia Brumana
1829-01-10|Muere el periodista, político y ensayista Gregorio Funes, conocido como "el Deán Funes", director del periódico "La Gazeta de Buenos Ayres", fundado por Mariano Moreno y promotor de la libertad de culto
1883-01-10|Fallece el sacerdote catamarqueño Mamerto Esquiú, llamado "el orador sagrado de la Constitución" por su sermón en favor de la Constitución Argentina dado el 9 de julio de 1853
1996-01-10|Los incendios más graves en años consumen grandes extensiones de bosque en las inmediaciones de Bariloche
1884-01-11|en La Plata se inaugura un servicio de iluminación pública eléctrica, siendo la primera ciudad del país en contar con este sistema.
1887-01-11|Nace el poeta y cuentista salteño Juan Carlos Dávalos
1996-01-11|Fallece el actor Tato Bores (nacido Mauricio Borensztein), mordaz crítico político y monologuista
1899-01-12|La Fragata Presidente Sarmiento emprende por primera vez un viaje de circunnavegación del globo
1920-01-12|Muere el músico uruguayo Cayetano Alberto Silva, autor de la marcha de San Lorenzo y musicalizador de obras teatrales
1825-01-13|El Alto Perú proclama en Cochabamba su independencia de España con el nombre de República de Bolívar (luego Bolivia), formando parte de ella las provincia de Charcas, Cochabamba, Potosí y Tarija, que habían formado parte de las Provincias Unidas del Río de la Plata desde 1810 y enviado diputados a la firma del Acta de la Independencia en 1816
1908-01-13|Se funda en Buenos Aires, a iniciativa de Aarón Anchorena, el Aero Club Argentino
1807-01-14|Nace el poeta, periodista y militar cordobés Hilario Ascasubi, autor de obras de lírica gauchesca y férreo opositor al gobierno de Juan Manuel de Rosas
1878-01-14|Nace el abogado y escritor porteño Octavio R. Amadeo, autor de biografías de los próceres argentinos
1977-01-14|Muere el grabador catalano-argentino Pompeyo Audivert
1992-01-14|Muere el ensayista y poeta porteño Eduardo A. Azcuy
1822-01-15|Se funda el Banco de la Provincia de Buenos Aires
1870-01-15|Domingo Faustino Sarmiento funda la Biblioteca Nacional de Maestros
1877-01-15|Bajo el auspicio del presidente Nicolás Avellaneda, se realiza en Buenos Aires la primera Exposición Industrial
1901-01-15|Nace la cantante de tango bonaerense Rosita Quiroga
1944-01-15|Un terremoto asola la ciudad de San Juan, ocasionando miles de víctimas
1955-01-16|El piloto Juan Manuel Fangio gana por segunda vez consecutiva el Gran Premio de Buenos Aires de Fórmula 1
1963-01-16|Nace el compositor Gilardo Gilardi
1986-01-16|Nace la yudoca Paula Pareto
1855-01-17|El político Pastor Obligado reanuda la gobernación de la provincia de Buenos Aires, que había dejado temporalmente en manos de Felipe Llavallol
1900-01-17|Nace el actor cómico porteño Pepe Arias
1954-01-17|Nace el actor de telenovelas porteño Raúl Taibo
1972-01-17|Nace el actor porteño Gastón Pauls
1878-01-18|Argentina y Chile firman el Tratado Fierro-Sarratea, por el que reconocen como límite la Cordillera de los Andes en la línea "de las más altas cumbres" fijada por el perito Francisco Pascasio Moreno.
1983-01-18|Muere el poeta y literato porteño Raúl Gustavo Aguirre, director de la revista literaria Poesía Buenos Aires.
1983-01-18|Muere el médico y político bonaerense Arturo Umberto Illia, presidente de la Nación entre 1963 y 1966, célebre por la intransigente honestidad de su vida pública.
1986-01-18|Muere el guitarrista y cantante de tango bonaerense Edmundo Rivero, uno de los intérpretes más celebrados del género.
2015-01-18|Muere en circunstancias dudosas el fiscal Alberto Nisman.
1811-01-19|El ejército dirigido por el general Manuel Belgrano es derrotado por las fuerzas paraguayas en la batalla de Paraguarí
1827-01-19|Nace el poeta porteño Carlos Guido y Spano
1851-01-19|Muere el poeta y político porteño Esteban Echeverría, acérrimo opositor del rosismo y redactor del Dogma socialista, un ideario radical que resumía las posiciones políticas de la élite progresista porteña
1875-01-19|Nace el sociólogo y jurista porteño Carlos Octavio Bunge.
1906-01-19|Muere el político, militar, historiador y periodista Bartolomé Mitre, una de las figuras clave de la historia argentina y presidente de la Nación entre 1862 y 1868. Su obra como historiador, que comprende entre otros volúmenes una influyente Historia de Belgrano y de la Independencia Argentina y una Historia de San Martín y de la Emancipación Sudamericana, marcó el inicio de esa ciencia en la Argentina
1868-01-20|Fallece en San Miguel de Tucumán el guerrero de la independencia Cnel Lorenzo Lugones.Fue ayudante de campo del Gral Manuel Belgrano.
1876-01-20|El perito Francisco Pascasio Moreno llega al lago Nahuel Huapi e iza allí por primera vez la bandera argentina
1960-01-20|Se funda el Instituto Tecnológico de Buenos Aires
1823-01-21|Muere el monje y poeta bonaerense Cayetano Rodríguez, diputado de la Asamblea del año XIII y mentor de Mariano Moreno
1924-01-21|El militar y deportista Juan Luis Garramendi cruza a nado el Río de la Plata
1980-01-21|Junto con el cántabro Gerardo Diego, Jorge Luis Borges recibe el Premio Cervantes
1930-01-22|El crucero Monte Cervantes, que unía Buenos Aires con Ushuaia, naufraga al impactar contra los escollos Pan de Indio en los canales fueguinos; sus 1500 pasajeros se salvan y son conducidos a Ushuaia, que no contaba con más de 800 habitantes en ese momento, por lo que muchos debieron ser alojados en el penal
1839-01-23|Muere en el exilio en Montevideo el poeta, dramaturgo y periodista porteño Juan Cruz Varela, una de las principales figuras del liberalismo nacional y estrecho colaborador de Bernardino Rivadavia
1950-01-23|Día Nacional del Músico: nace en Buenos Aires Luis Alberto Spinetta
1967-01-24|Muere el poeta surrealista porteño Oliverio Girondo, una de las personalidades más vanguardistas de la literatura de la época y colaborador de periódico literario "Martín Fierro"
1822-01-25|Las provincias de Buenos Aires, Santa Fe, Entre Ríos y Corrientes suscriben en la ciudad de Santa Fe el Tratado del Cuadrilátero, uno de los documentos primigenios del federalismo en Argentina; será uno de los "pactos preexistentes" mencionados en el Preámbulo de la Constitución Nacional de 1853
1885-01-25|Nace el dramaturgo y letrista de tango rosarino José González Castillo
1925-01-25|Muere el inventor croata-argentino Juan Vucetich, creador del "sistema dactiloscópico argentino" de identificación mediante las huellas dactilares
1959-01-25|Nace el periodista Juan Carlos Mineldín
1997-01-25|El reportero gráfico José Luis Cabezas es asesinado en Mar del Plata, dando lugar a una investigación que revelará la corrupción de la Policía Bonaerense. En su honor, se fija en esta fecha el Día Nacional del Reportero Gráfico
1907-01-26|Nace la guitarrista clásica bonaerense María Luisa Anido
1914-01-26|Muere el "cura gaucho" cordobés, José Gabriel Brochero, promotor de numerosos emprendimientos sociales y de la mejora de las comunicaciones internas en la provincia de Córdoba
1851-01-27|Nace el poeta porteño Rafael Obligado, autor del Santos Vega
1851-01-27|Nace el escritor Miguel Cané, autor de Juvenilia, en que rememora su experiencia de alumno del prestigioso Colegio Nacional de Buenos Aires
1960-01-27|El exiliado Juan Domingo Perón abandona República Dominicana para acogerse a la bienvenida que el régimen franquista le prodiga en España, donde vivirá hasta su regreso a Argentina en la década siguiente
1979-01-27|Muere la escritora Victoria Ocampo, directora de la revista Sur, una de las publicaciones más importantes de la historia literaria del país
1868-01-28|Nace el compositor porteño Julián Aguirre, autor de obras de corte folclorista
1977-01-28|Muere el pintor impresionista porteño Benito Quinquela Martín, una de las grandes figuras de la plástica nacional, que dejaría a la historia sus escenas del puerto de La Boca. Donaría su obra y terrenos en el barrio de La Boca para fines de bien público, además de construir el teatro de la Ribera
1879-01-29|Se inaugura la Casa de Correos de Buenos Aires
1915-01-29|Nace el poeta y ensayista bonaerense Miguel D. Etchebarne, autor de epopeyas regionalistas
1993-01-29|Muere el psicoanalista vasco-argentino Ángel Garma, fundador y presidente de la Asociación Psicoanalítica Argentina
1794-01-30|Una Real Cédula crea el Consulado de Buenos Aires; Manuel Belgrano, nombrado secretario del mismo, escribe promoviendo el comercio libre, el cultivo del lino y el cáñamo, y la creación de escuelas de contabilidad, dibujo y náutica
1903-01-30|Llega el primer docente enviado por el CONEA a la Escuela Nacional Nº15 de Colonia Cushamén (Chubut), la primera escuela del país orientada específicamente a la atención de la población aborigen; ésta atendería a los mapuche, enseñando su idioma además de la currícula general. La escuela, así como la colonia, formaba parte del plan de repoblamiento de la Patagonia llevado a cabo por Julio Argentino Roca durante su segundo gobierno para contrarrestar las reclamaciones chilenas sobre el territorio; irónicamente, una de las causas principales del despoblamiento del mismo fue la Campaña del Desierto emprendida por Roca en su primer mandato, en la que murieron millares de nativos.
1813-01-31|Comienza a sesionar la Asamblea del Año XIII, la primera convención con objetivo constituyente llamada como consecuencia de la Revolución de Mayo. Aunque no logrará redactar una Constitución, sentará los fundamentos del sistema legal argentino decretando la libertad de vientres, la igualdad ante la ley, la abolición de la tortura, la supresión del mayorazgo y de los títulos de nobleza y la extinción de los regímenes de tributo para los nativos
1908-01-31|Nace en el campo bonaerense el músico, compositor y poeta Héctor Roberto Chavero, más conocido por su seudónimo de Atahualpa Yupanqui, autor de obra folklórica de singular belleza
1820-02-01|Con la derrota de las tropas unitarias de José Rondeau en la batalla de Cepeda por parte de los federales Estanislao López y Francisco Ramírez culmina la etapa del Directorio y comienza el período de las autonomías de la provincias en Argentina
1886-02-01|Se inaugura el ferrocarril a Rosario, que más tarde pasaría a formar parte del Ferrocarril General Manuel Belgrano
1887-02-01|En La Plata se inaugura el Cementerio de La Plata, cuyo diseño replica al trazado de la ciudad.3​
1905-02-01|Aparece en Buenos Aires el primer número de "El Diario Español", bajo la dirección de Justo López de Gómara
1906-02-01|Nace el historiador porteño Enrique de Gandía, autor más de un centenar de publicaciones
1924-02-01|Tras un hiato de 5 años, reaparece la revista literaria "Martín Fierro", que se publicará tres años más
1930-02-01|Nace la escritora y compositora bonaerense María Elena Walsh, autora de poemarios y cuentos infantiles y numerosas canciones
1969-02-01|Nace el futbolista santafesino Gabriel Batistuta
1978-02-01|Muere en un accidente de tránsito el cantante folclórico Jorge Cafrune
2002-02-01|Se declara en la Argentina la inconstitucionalidad del corralito financiero.
1536-02-02|La expedición de Pedro de Mendoza desembarca en la ribera sur del río de la Plata y funda el fortín de la Santísima Trinidad, base de la eventual ciudad de Buenos Aires
1813-02-02|A iniciativa de Carlos María de Alvear, la Asamblea del Año XIII declara la libertad de vientres en las Provincias Unidas del Río de la Plata
1825-02-02|Por el Tratado de Amistad, Comercio y Navegación celebrado entre las Provincias Unidas del Río de la Plata y Su Majestad Británica, los británicos obtienen la libertad de introducir sus mercancías en territorio argentino, a la vez que se veda el tráfico de esclavos
1878-02-02|Se funda la ciudad de chaqueña de Resistencia, sobre la base de un fortín establecido en la zona para ganar terreno a los nativos tobas y wichís
1890-02-02|Muere en París el higienista y legislador Guillermo Rawson, fundador de la filial argentina de la Cruz Roja
1916-02-02|Nace en Arezzo (Italia) el escultor y pintor Líbero Badii, que desarrollaría la mayor parte de su obra en Argentina, dando lugar a notables bronces como "La fecunda"; con su obra se erigiría un museo aún antes de su muerte, acaecida el 11 de febrero de 2001 en Olivos
1972-02-02|Primera edición del Prode (Pronósticos Deportivos), un juego de apuestas basado en los resultados de la liga argentina de fútbol
1813-02-03|El Regimiento de Granaderos a Caballo del coronel José de San Martín entra en su primer combate contra las tropas realistas en las inmediaciones del convento de San Lorenzo, derrotando a los españoles. Juan Bautista Cabral pierde la vida en la defensa de su jefe.
1843-02-03|Las tropas de Juan Manuel de Rosas comienzan el sitio de Montevideo con el apoyo de Manuel Oribe; la derrota de Fructuoso Rivera insumiría seis años.
1852-02-03|Las tropas al mando de Juan Manuel de Rosas son vencidas en la batalla de Caseros por las de Justo José de Urquiza, dando fin así al segundo gobierno de Rosas. Éste pide asilo a Inglaterra, donde residirá hasta su muerte.
1858-02-03|Nace el payador porteño Gabino Ezeiza, una de las figuras más destacadas de la primera etapa de la Unión Cívica Radical.
1876-02-03|Se pone fin a la Guerra de la Triple Alianza mediante la firma de un Tratado de Paz y Límites con el Paraguay.
1899-02-03|El caserón de Juan Manuel de Rosas en el barrio de Palermo, Buenos Aires, es demolido.
1963-02-03|Muere en Santa Fe el jurista Julio Busaniche, ministro de la Corte, director de la primera revista de crítica artística de la provincia y legislador.
1813-02-04|La Asamblea del Año XIII declara la libertad de todos los esclavos extranjeros que llegasen al territorio de las Provincias Unidas
1817-02-04|Las tropas del ya general José de San Martín derrotan a los realistas en la batalla de Achupallas, en el actual territorio chileno
1884-02-04|Alexander Watson Hutton funda la Argentine Association Football League, una de las bases del desarrollo del fútbol argentino.
1905-02-04|Comienza el alzamiento cívico-militar encabezado por la Unión Cívica Radical en Buenos Aires, la provincia de Buenos Aires, Santa Fe, Córdoba y Mendoza
1929-02-04|Nace el pintor e ilustrador mendocino Carlos Alonso, que ilustraría varias obras clave de la literatura universal, entre ellas Don Quijote de la Mancha, el Martín Fierro y la Divina Comedia
1969-02-04|Fallece exiliado en San José de Costa Rica el físico Rafael Grinfeld, uno de los puntales del socialismo argentino
1980-02-04|Fallece en Buenos Aires la pintora Anita Payró, una de las más destacadas intérpretes abstractas argentinas
1987-02-04|Fallece en Buenos Aires el pintor y escultor ítalo-argentino Juan del Prete, que encabezara la vanguardia escultórica nacional
1886-02-05|Nace en Bayreuth, Alemania, el físico José Würschmidt, que llegaría a la Argentina en 1925 para dirigir el instituto de física de la Universidad Nacional de Tucumán, en cuyas publicaciones sobre acústica describiría la llamada coma Würschmidt
1958-02-05|Se crea, por iniciativa de Victoria Ocampo, el Fondo Nacional de las Artes, destinado a financiar la producción artística y promover la artesanía
1979-02-05|Se instala la base antártica Belgrano II
1852-02-06|Bajo el amparo británico, Juan Manuel de Rosas abandona la Argentina después de su derrota en la batalla de Caseros
1866-02-06|Fallece el general Argentino Juan Gregorio de las Heras, héroe de la Guerra de Independencia Hispanoamericana y estrecho colaborador de José de San Martín
1936-02-06|Se funda la Cámara Argentina de la Construcción
1941-02-06|Fallece el escultor porteño Pedro Zonza Briano, autor de un notable monumento a Leandro N. Alem
1949-02-06|Por primera vez son derrotados los pilotos europeos de Fórmula I cuando el porteño Oscar Gálvez triunfa en el Gran Premio de Argentina
1988-02-06|Raúl Alfonsín, presidente de Argentina, y José Sarney, su par brasileño, se reúnen en Colonia para invitar al presidente Sanguinetti a integrar a Uruguay en el proyectado Mercosur
1826-02-07|Bernardino Rivadavia es nombrado primer Presidente de la República Argentina
1834-02-07|Nace en Buenos Aires el poeta, periodista, político y militar Estanislao del Campo, autor del poema gauchesco "Fausto".
1917-02-07|Se funda el club Gimnasia y Esgrima de Concepción del Uruguay, de la provincia de Entre Ríos.
1942-02-07|Primer vuelo argentino sobre la Antártida.
1971-02-07|Muere el escritor Jorge Furt, compilador de un cancionero popular rioplatense y autor de "Libro de compañía", de "Coreografía gauchesca" y de biografías de Luis de Tejeda y Esteban Echeverría.
1813-02-08|Nace en Buenos Aires Carlos Morel, considerado cronológicamente "el primer pintor argentino". Entre otros cuadros, realizó el "Retrato de Macedonia Escardó" y son notables sus temas de carretas, pulperías y combates de la época de Rosas.
1827-02-08|Batalla de Juncal entre argentinos y brasileños.
1888-02-08|Nace en Buenos Aires el poeta y prosista Enrique Banchs, autor de "La urna", "Las barcas", "El cascabel del balcón" y "El libro de los elogios".
1944-02-08|Acusados de espionaje, son detenidos los agregados militares de Alemania y Japón.
1993-02-08|Muere en Buenos Aires el sacerdote jesuita Ismael Quiles quien fuera rector de la Universidad del Salvador.
2012-02-08|Muere en Buenos Aires el músico Luis Alberto Spinetta
1826-02-09|Argentina derrota a Brasil en la Batalla de los Corales.
1955-02-09|Muere en Buenos Aires el pintor argentino Miguel Carlos Victorica. Entre su vasta obra se destaca la "Cocina bohemia", "El collar de Venecia" y la serie de sus balcones boquenses.
1805-02-10|Son prohibidas las corridas de toros en España y en la América Española.
1807-02-10|Es depuesto el Virrey Rafael de Sobremonte y nombrado en su lugar Santiago de Liniers.
1859-02-10|Muere en Buenos Aires el publicista Pedro de Angelis, quien recopilo varios documentos referidos a la historia de las Provincias del Río de la Plata.
1874-02-10|Es fundada la ciudad de Mar del Plata por Patricio Peralta Ramos
1912-02-10|Es sancionada la Ley Nacional Nº 8.871, conocida como la Ley Sáenz Peña, que establece el voto universal, secreto y obligatorio.
1926-02-10|El comandante español Ramón Franco arriba a Buenos Aires a bordo del avión Plus Ultra. Había partido Puerto de Palos de la Frontera.
1927-02-10|La provincia de San Juan promulga una nueva Constitución que establece por primera vez en Argentina el voto femenino.
1952-02-10|Muere en Buenos Aires el escritor y poeta Macedonio Fernández, autor entre otras obras de "No toda es vigilia la de los ojos abiertos" y "Papeles de recienvenido".
1966-02-10|Fallece en Buenos Aires el músico y escritor Carlos Vega, autor de "Danzas y canciones argentinas", "Teorías e investigaciones", "Música sudamericana" y de libros de poemas como "Hombre" y "Campo".
1774-02-11|El gobierno británico comunica a España su intención de retirar todas las fuerzas de Puerto Egmont en las islas Malvinas
1859-02-11|Fallece en San Miguel de Tucumán el obispo José Eusebio Colombres, que hacia 1821 instaló en su casa trapiches para la molienda de la caña de azúcar, fundando la industria azucarera tucumana
1931-02-11|Fallece en Buenos Aires el pintor neoimpresionista tucumano Valentín Thibon de Libian
1942-02-11|El teniente Eduardo Lanussa sobrevuela el archipiélago de Melchior en el primer vuelo argentino en la Antártida
1984-02-11|La Cámara de Diputados de la Nación Argentina da sanción final a la Ley de Reordenamiento Sindical
1817-02-12|El Ejército de los Andes, bajo el mando de José de San Martín libra la batalla de Chacabuco en la cuesta homónima, en Chile, venciendo a las tropas realistas. Más de doscientos negros del Regimiento de Morenos fallecen
1903-02-12|Nace el escritor, diplomático y académico porteño Vicente Fatone, autor de obras sobre filosofía, poesía y cultura hindú, además de embajador argentino ante la República de la India
1909-02-12|Nace Bernabé el Mortero Ferreyra, futbolista estrella de River Plate en la década del '30
1914-02-12|En el nonagésimo séptimo aniversario de la batalla de Chacabuco, se inaugura en el mendocino Cerro de la Gloria el Monumento al Ejército de Los Andes, obra del escultor uruguayo Juan Manuel Ferrari
1951-02-12|El carguero Santa Micaela zarpa de Buenos Aires, transportando la primera Expedición Científica a la Antártida Argentina
1958-02-12|El ex presidente argentino Juan Domingo Perón es invitado por el gobierno de la República Dominicana, donde se encuentra exiliado, a abandonar el país
1982-02-12|Se inaugura en la Antártida Argentina la base Jubany
1984-02-12|Fallece en su exilio parisino el escritor belga-argentino Julio Cortázar, autor de una vasta obra narrativa de singular genio
1988-02-12|Fallece el escritor y crítico de arte porteño Jorge Romero Brest, autor de obras sobre las artes plásticas en el Río de la plata y el mundo, periodista especializado y director del Instituto Di Tella
1812-02-13|Manuel Belgrano solicita al Primer Triunvirato que autorice el uso de una escarapela azul y blanca para distinguir a las tropas nacionales
1837-02-13|Juan Manuel de Rosas rompe relaciones con el gobierno de la Confederación Perú-Boliviana gobernada por Andrés de Santa Cruz; aliado a Chile, entrará en guerra con ésta
1889-02-13|Nace el escritor porteño Ricardo Güiraldes, autor de Don Segundo Sombra, una de las obras cruciales de la literatura gauchesca
1947-02-13|El Presidente Juan Domingo Perón nacionaliza el Ferrocarril Oeste de Buenos Aires, que se transformará en el Ferrocarril Domingo Faustino Sarmiento
1817-02-14|Vencedor dos días antes en la batalla de Chacabuco, el general José de San Martín entra triunfalmente en Santiago de Chile, abandonada por los realistas
1820-02-14|Fallece el médico Cosme Argerich, catedrático, médico jefe del Hospital de la Caridad, fundador del Instituto Médico Militar y uno de los padres de la epidemiología en Argentina
1897-02-14|Se reúne la primera Asamblea Universitaria de la Universidad Nacional de La Plata, que designará rector a Dardo Rocha
1898-02-14|Nace el político, literato e ingeniero correntino Raúl Scalabrini Ortiz, autor de El hombre que está solo y espera y uno de los ideólogos de FORJA
1955-02-14|Nace el actor cómico argentino Guillermo Francella
1967-02-14|Argentina firma, con otros 13 países americanos, la Declaración de Tlatelolco, prohibiendo el desarrollo y uso de armas nucleares en América Latina
1972-02-14|Fallece el abogado y político radical bonaerense Ricardo Lavalle, presidente del comité provincial y ex vicegobernador
1811-02-15|Nace el escritor y político sanjuanino Domingo Faustino Sarmiento, futuro presidente de la Nación y uno de los pensadores más destacados de la Argentina liberal, además de eminente escritor
1848-02-15|Nace el escritor franco-argentino Paul Groussac, que dirigiría la Biblioteca Nacional. Escribió, entre otras obras, Los que pasaban, Mendoza y Garay, Santiago de Liniers, Del Plata al Niágara
1887-02-15|Fallece el escritor, naturalista y periodista uruguayo Marcos Sastre, autor de "El Tempe argentino", una detallada descripción de la geografía, flora y fauna del Delta del Paraná, y dueño de la Librería Argentina, dotada de más de mil volúmenes y un salón de lectura
1898-02-15|Nace el escritor y humorista porteño Conrado Nalé Roxlo, autor de extensa obra en prosa, verso y drama
1595-02-16|Se funda por tercera vez Buenos Aires, por obra de Fernando de Zárate, que comienza a levantar la fortaleza
1794-02-16|Nace el litógrafo helveto-argentino César Hipólito Bacle, autor de un álbum de grabados sobre tipos populares argentinos y costumbres y vestidos de mediados del siglo XIX
1820-02-16|Se nombra a Manuel de Sarratea gobernador de la provincia de Buenos Aires
1984-02-16|Se lanza en Ensenada el proyecto para la Petroquímica General Mosconi
1948-02-17|Fallece el cirujano e investigador médico argentino Enrique Finochietto, innovador en técnica e instrumental de operación
1971-02-17|Fallece la pedagoga paranaense Luz Vieira Méndez, ex presidenta del Consejo Nacional de Educación
1800-02-18|Nace el jurista cordobés Dalmacio Vélez Sársfield, autor del Código Civil Argentino y coautor del de Comercio, así como de otras importantes piezas legislativas.
1835-02-18|Una partida al mando de Santos Pérez da muerte en Barranca Yaco, provincia de Córdoba, al caudillo federal Facundo Quiroga.
1880-02-18|Nace el cirujano y académico bonaerense Pedro Chutró.
1889-02-18|Se funda el Colegio de Escribanos de la Provincia de Buenos Aires.
1922-02-18|Nace el compositor, pianista y director Mariano Mores, uno de los más destacados compositores de la historia del tango.
1938-02-18|En una isla del Tigre se quita la vida el escritor cordobés Leopoldo Lugones, una de las plumas más importantes de la literatura argentina.
1960-02-18|Un tratado da el paso inicial para la constitución de la Asociación Latinoamericana de Libre Comercio, ALALC, integrada por Argentina, Chile, México, Paraguay, Perú y Uruguay.
1990-02-18|Fallece el literato y profesor hispanoargentino Fermín Estrella Gutierrez.
1732-02-19|El pueblo paraguayo se levanta contra la Compañía de Jesús, encargada de la evangelización de la región
1807-02-19|Una junta militar confiere el mando supremo de las fuerzas estacionadas en la región a Santiago de Liniers
1892-02-19|Por iniciativa de Carlos Thays, se funda el Jardín Botánico de Buenos Aires
1913-02-19|Nace el arquitecto y urbanista porteño Amancio Williams, medalla de oro en la exposición de Bruselas, miembro de la Academia Nacional de Bellas Artes y autor de uno de los únicos proyectos existentes de una ciudad específicamente diseñada para la Antártida
1932-02-19|Regresa de su prisión en la isla Martín García el ex presidente Hipólito Yrigoyen, destituido dos años antes
1937-02-19|Muere en Buenos Aires, por su propia mano, el escritor uruguayo Horacio Quiroga, narrador modernista de estilo económico y elegante
1953-02-19|Nace en La Plata Cristina Fernández de Kirchner, líder política que fue Presidenta de la Nación Argentina desde el 10 de diciembre de 2007 hasta el 9 de diciembre de 2015.
1813-02-20|La batalla de Salta, librada entre el Ejército del Norte al mando del general Manuel Belgrano y las tropas realistas dirigidas por Pío Tristán, acaba con la victoria argentina
1827-02-20|A las órdenes del general José María Paz, las tropas argentinas derrotan a las del Imperio del Brasil en la batalla de Ituzaingó
1828-02-20|El gobierno argentino reconoce la independencia de Paraguay, efectiva desde 1813
1919-02-20|Fallece el dramaturgo porteño Martín Coronado
1932-02-20|Tras obtener la victoria en elecciones fraudulentas, Agustín Pedro Justo asume la presidencia de la Nación Argentina
1938-02-20|Roberto Marcelino Ortiz, ex ministro de Agustín Justo, asume la presidencia de la Nación obtenida mediante el fraude; su gobierno, truncado por su muerte en 1942, intentaría restituir el orden institucional roto durante la Década Infame
1978-02-20|El dictador al frente del Poder Ejecutivo argentino, Jorge Rafael Videla, se reúne con su homólogo chileno, Augusto Pinochet, para tratar el conflicto del canal de Beagle
1870-02-21|Nace el pedagogo porteño Víctor Mercante
